date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:08:01	30966/30966	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:04%20GMT	http://www.vasterad.com/themes/listeo_082019/index.html	C:/Users/ADNSU/Desktop/New%20folder/front/www.vasterad.com/themes/listeo_082019/index.html	(from )
03:08:01	29/29	---M--	200	added ('OK')	text/plain	date:Tue,%2010%20Sep%202019%2010:08:32%20GMT	http://www.vasterad.com/robots.txt		(from )
03:08:03	294770/294770	---MCZ	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202019%2020:54:06%20GMT	http://www.vasterad.com/themes/listeo_082019/css/style.css	C:/Users/ADNSU/Desktop/New%20folder/front/www.vasterad.com/themes/listeo_082019/css/style.css	(from http://www.vasterad.com/themes/listeo_082019/index.html)
03:08:03	7993/7993	---MCZ	200	added ('OK')	text/css	etag:W/%22233e-58f0053636168-gzip%22	http://www.vasterad.com/themes/listeo_082019/css/main-color.css	C:/Users/ADNSU/Desktop/New%20folder/front/www.vasterad.com/themes/listeo_082019/css/main-color.css	(from http://www.vasterad.com/themes/listeo_082019/index.html)
03:08:03	3665/3665	---M--	200	added ('OK')	image/png	etag:%22182c-58f00555728dc%22	http://www.vasterad.com/themes/listeo_082019/images/logo2.png	C:/Users/ADNSU/Desktop/New%20folder/front/www.vasterad.com/themes/listeo_082019/images/logo2.png	(from http://www.vasterad.com/themes/listeo_082019/index.html)
03:08:04	27658/27658	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:05%20GMT	http://www.vasterad.com/themes/listeo_082019/index-2-airbnb.html	C:/Users/ADNSU/Desktop/New%20folder/front/www.vasterad.com/themes/listeo_082019/index-2-airbnb.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
03:08:04	27345/27345	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:05%20GMT	http://www.vasterad.com/themes/listeo_082019/index-3.html	C:/Users/ADNSU/Desktop/New%20folder/front/www.vasterad.com/themes/listeo_082019/index-3.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
03:08:05	28753/28753	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:05%20GMT	http://www.vasterad.com/themes/listeo_082019/index-4.html	C:/Users/ADNSU/Desktop/New%20folder/front/www.vasterad.com/themes/listeo_082019/index-4.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
03:08:05	23987/23987	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:06%20GMT	http://www.vasterad.com/themes/listeo_082019/index-5.html	C:/Users/ADNSU/Desktop/New%20folder/front/www.vasterad.com/themes/listeo_082019/index-5.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
03:08:05	32241/32241	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jul%202019%2021:19:06%20GMT	http://www.vasterad.com/themes/listeo_082019/index-6.html	C:/Users/ADNSU/Desktop/New%20folder/front/www.vasterad.com/themes/listeo_082019/index-6.html	(from http://www.vasterad.com/themes/listeo_082019/index.html)
